full_name,age,league,position,Current Club,minutes_played_overall,nationality,appearances_overall,goals_overall,goals_home,goals_away,assists_overall,clean_sheets_overall,yellow_cards_overall,red_cards_overall
Lucas Digne,26,Premier League,Defender,Everton,2990,France,35,4,2,2,4,14,6,1
Sandro Ramirez,24,Premier League,Forward,Everton,0,Spain,0,0,0,0,0,0,0,0
Maarten Stekelenburg,37,Premier League,Goalkeeper,Everton,0,Netherlands,0,0,0,0,0,0,0,0
Tom Davies,21,Premier League,Midfielder,Everton,975,England,16,0,0,0,0,5,3,0
Dominic Calvert-Lewin,22,Premier League,Forward,Everton,1774,England,35,6,3,3,2,13,3,0
Alisson Becker,27,Premier League,Goalkeeper,Liverpool,3420,Brazil,38,0,0,0,0,21,1,0
Virgil van Dijk,28,Premier League,Defender,Liverpool,3385,Netherlands,38,4,2,2,2,21,1,0
Andrew Robertson,25,Premier League,Defender,Liverpool,3219,Scotland,36,0,0,0,11,21,4,0
Joe Gomez,22,Premier League,Defender,Liverpool,1060,England,16,0,0,0,0,11,2,0
Trent Alexander-Arnold,21,Premier League,Defender,Liverpool,2467,England,29,1,0,1,12,16,3,0
James Milner,33,Premier League,Midfielder,Liverpool,1785,England,31,5,0,5,4,18,7,1
Georginio Wijnaldum,28,Premier League,Midfielder,Liverpool,2735,Netherlands,35,3,1,2,0,21,3,0
Naby Deco Keïta,24,Premier League,Midfielder,Liverpool,1392,Guinea,25,2,1,1,1,15,0,0
Roberto Firmino,28,Premier League,Forward,Liverpool,2620,Brazil,34,12,7,5,6,18,0,0
Mohamed Salah,27,Premier League,Forward,Liverpool,3262,Egypt,38,22,13,9,8,21,1,0
Sadio Mané,27,Premier League,Forward,Liverpool,3086,Senegal,36,22,18,4,1,20,2,0
Jordan Henderson,29,Premier League,Midfielder,Liverpool,1983,England,32,1,0,1,3,19,3,1
Xherdan Shaqiri,28,Premier League,Midfielder,Liverpool,1058,Switzerland,24,6,5,1,3,12,2,0
Daniel Sturridge,30,Premier League,Forward,Liverpool,496,England,18,2,1,1,1,10,1,0
Loris Karius,26,Premier League,Goalkeeper,Liverpool,0,Germany,0,0,0,0,0,0,0,0
Nathaniel Clyne,28,Premier League,Defender,AFC Bournemouth,1254,England,18,0,0,0,1,6,2,0
Fabinho,26,Premier League,Midfielder,Liverpool,2013,Brazil,28,1,1,0,2,15,6,0
Adam David Lallana,31,Premier League,Midfielder,Liverpool,465,England,13,0,0,0,0,6,1,0
Łukasz Fabiański,34,Premier League,Goalkeeper,West Ham United,3420,Poland,38,0,0,0,0,7,0,0
Angelo Ogbonna,31,Premier League,Defender,West Ham United,1870,Italy,24,1,1,0,1,3,2,0
Arthur Masuaku,25,Premier League,Defender,West Ham United,1700,France,22,0,0,0,1,5,2,0
Ryan Fredericks,27,Premier League,Midfielder,West Ham United,1085,England,15,1,1,0,0,3,5,0
Fabián Cornelio Balbuena González,28,Premier League,Defender,West Ham United,2014,Paraguay,23,1,0,1,0,5,2,0
Mark Noble,32,Premier League,Midfielder,West Ham United,2308,England,31,5,2,3,5,7,7,1
Jack Wilshere,27,Premier League,Midfielder,West Ham United,389,England,8,0,0,0,1,2,2,0
Michail Antonio,29,Premier League,Midfielder,West Ham United,2099,England,33,6,4,2,4,5,3,0
Felipe Anderson Pereira Gomes,26,Premier League,Midfielder,West Ham United,3054,Brazil,36,9,4,5,4,6,3,0
Declan Rice,20,Premier League,Midfielder,West Ham United,3005,Republic of Ireland,34,2,2,0,0,6,4,0
Marko Arnautović,30,Premier League,Forward,West Ham United,2000,Austria,28,10,7,3,4,5,3,0
Robert Snodgrass,32,Premier League,Midfielder,West Ham United,2222,Scotland,33,2,1,1,5,6,10,0
Javier Hernandez,31,Premier League,Forward,West Ham United,1335,Mexico,25,7,5,2,1,3,2,0
Andriy Yarmolenko,30,Premier League,Forward,West Ham United,459,Ukraine,9,2,0,2,0,1,2,0
Pablo Zabaleta,34,Premier League,Defender,West Ham United,2092,Argentina,26,0,0,0,1,4,4,0
Adrián San Miguel del Castillo,32,Premier League,Goalkeeper,West Ham United,0,Spain,0,0,0,0,0,0,0,0
Pedro Obiang,27,Premier League,Midfielder,West Ham United,1121,Equatorial Guinea,24,0,0,0,1,7,0,0
Issa Diop,22,Premier League,Defender,West Ham United,2970,France,33,1,1,0,0,7,4,0
Alex McCarthy,29,Premier League,Goalkeeper,Southampton,2250,England,25,0,0,0,0,4,1,0
Ryan Bertrand,30,Premier League,Defender,Southampton,2160,England,24,1,1,0,0,6,8,0
Cedric Soares,28,Premier League,Defender,Southampton,1494,Portugal,18,1,1,0,2,5,4,0
Jannik Vestergaard,27,Premier League,Defender,Southampton,2030,Denmark,23,0,0,0,0,4,2,0
Jack Stephens,25,Premier League,Defender,Southampton,1697,England,24,1,1,0,0,5,4,0
Wesley Hoedt,25,Premier League,Defender,Southampton,1170,Netherlands,13,0,0,0,0,4,2,0
Oriol Romeu,28,Premier League,Midfielder,Southampton,2140,Spain,31,1,1,0,0,6,11,0
Stuart Armstrong,27,Premier League,Midfielder,Southampton,1432,Scotland,29,3,1,2,2,4,2,0
Nathan Redmond,25,Premier League,Midfielder,Southampton,3276,England,38,6,4,2,4,7,3,0
Mario Lemina,26,Premier League,Midfielder,Southampton,1615,Gabon,21,1,0,1,1,4,5,0
Charlie Austin,30,Premier League,Forward,Southampton,980,England,25,2,1,1,2,6,1,0
Daniel William John Ings,27,Premier League,Forward,Southampton,1668,England,24,7,3,4,3,6,1,0
Mohamed Elyounoussi,25,Premier League,Midfielder,Southampton,790,Norway,16,0,0,0,0,4,0,0
Manolo Gabbiadini,27,Premier League,Forward,Southampton,470,Italy,12,1,1,0,0,3,0,0
James Ward-Prowse,24,Premier League,Midfielder,Southampton,1942,England,26,7,5,2,0,4,4,0
Pierre-Emile Højbjerg,24,Premier League,Midfielder,Southampton,2764,Denmark,31,4,2,2,3,4,10,2
Angus Gunn,23,Premier League,Goalkeeper,Southampton,1080,England,12,0,0,0,0,3,0,0
Jan Bednarek,23,Premier League,Defender,Southampton,2151,Poland,25,0,0,0,1,3,7,0
Joe Hart,32,Premier League,Goalkeeper,Burnley,1710,England,19,0,0,0,0,4,0,0
Stephen Ward,34,Premier League,Defender,Burnley,230,Republic of Ireland,3,0,0,0,0,1,1,0
Matthew Lowton,30,Premier League,Defender,Burnley,1748,England,21,0,0,0,0,4,7,0
Ben Mee,30,Premier League,Defender,Burnley,3420,England,38,0,0,0,2,8,9,0
James Tarkowski,26,Premier League,Defender,Burnley,3087,England,35,3,2,1,1,7,8,0
Aaron Lennon,32,Premier League,Midfielder,Burnley,1217,England,16,1,1,0,1,4,1,0
Jack Cork,30,Premier League,Midfielder,Burnley,3313,England,37,1,1,0,2,8,6,0
Johann Berg Guðmunds­son,28,Premier League,Midfielder,Burnley,1748,Iceland,29,3,0,3,6,6,2,0
Ashley Westwood,29,Premier League,Midfielder,Burnley,2822,England,34,2,0,2,7,7,5,0
Jeff Hendrick,27,Premier League,Midfielder,Burnley,2069,Republic of Ireland,32,2,0,2,0,6,4,0
Chris Wood,27,Premier League,Forward,Burnley,2582,New Zealand,38,10,4,6,2,8,2,0
Sam Vokes,30,Premier League,Forward,Burnley,913,Wales,20,3,2,1,0,4,0,0
Ashley Barnes,29,Premier League,Forward,Burnley,2400,Austria,37,12,6,6,2,8,8,0
Charlie Taylor,26,Premier League,Defender,Burnley,3240,England,38,0,0,0,1,8,2,0
Tom Heaton,33,Premier League,Goalkeeper,Burnley,1710,England,19,0,0,0,0,4,3,0
Ben Gibson,26,Premier League,Defender,Burnley,63,England,1,1,1,0,0,0,1,0
Jonathan Walters,36,Premier League,Forward,Burnley,0,Republic of Ireland,0,0,0,0,0,0,0,0
Phil Bardsley,34,Premier League,Defender,Burnley,1672,Scotland,19,0,0,0,0,4,9,0
Petr Čech,37,Premier League,Goalkeeper,Arsenal,585,Czech Republic,7,0,0,0,0,2,0,0
Sokratis Papastathopoulos,31,Premier League,Defender,Arsenal,2199,Greece,25,1,0,1,2,6,12,0
Shkodran Mustafi,27,Premier League,Defender,Arsenal,2617,Germany,31,2,0,2,0,6,9,0
Hector Bellerin,24,Premier League,Defender,Arsenal,1535,Spain,19,0,0,0,5,4,3,0
Mesut Özil,31,Premier League,Midfielder,Arsenal,1741,Germany,24,5,4,1,2,6,2,0
Henrikh Mkhitaryan,30,Premier League,Midfielder,Arsenal,1643,Armenia,25,6,3,3,4,4,1,0
Aaron Ramsey,28,Premier League,Midfielder,Arsenal,1327,Wales,28,4,2,2,6,7,0,0
Granit Xhaka,27,Premier League,Midfielder,Arsenal,2502,Switzerland,29,4,2,2,2,7,10,0
Ainsley Maitland-Niles,22,Premier League,Midfielder,Arsenal,985,England,16,1,0,1,1,4,3,1
Mattéo Guendouzi Olié,20,Premier League,Midfielder,Arsenal,2143,France,33,0,0,0,0,4,9,0
Pierre-Emerick Aubameyang,30,Premier League,Forward,Arsenal,2731,Gabon,36,22,13,9,5,8,0,0
Stephan Lichtsteiner,35,Premier League,Defender,Arsenal,940,Switzerland,14,0,0,0,0,2,3,0
Alexandre Lacazette,28,Premier League,Forward,Arsenal,2503,France,35,13,9,4,8,7,2,0
Lucas Torreira,23,Premier League,Midfielder,Arsenal,2377,Uruguay,34,2,2,0,2,6,8,1
Mohamed Elneny,27,Premier League,Midfielder,Arsenal,381,Egypt,8,0,0,0,0,2,0,0
Rob Holding,24,Premier League,Defender,Arsenal,807,England,10,0,0,0,0,2,1,0
Alex Iwobi,23,Premier League,Forward,Arsenal,1972,Nigeria,35,3,1,2,6,8,0,0
Bernd Leno,27,Premier League,Goalkeeper,Arsenal,2835,Germany,32,0,0,0,0,7,0,0
Ederson,26,Premier League,Goalkeeper,Manchester City,3420,Brazil,38,0,0,0,1,20,2,0
Kyle Walker,29,Premier League,Defender,Manchester City,2777,England,33,1,1,0,1,18,3,0
Benjamin Mendy,25,Premier League,Defender,Manchester City,900,France,10,0,0,0,5,4,1,0
Aymeric Laporte,25,Premier League,Defender,Manchester City,3057,France,35,3,0,3,3,18,3,0
John Stones,25,Premier League,Defender,Manchester City,1762,England,24,0,0,0,0,13,1,0
Fernando Luiz Rosa,34,Premier League,Midfielder,Manchester City,2381,Brazil,29,1,1,0,3,16,5,0
İlkay Gündoğan,29,Premier League,Midfielder,Manchester City,2135,Germany,31,6,4,2,3,15,3,0
Riyad Mahrez,28,Premier League,Midfielder,Manchester City,1339,Algeria,27,7,1,6,4,13,0,0
Bernardo Silva,25,Premier League,Midfielder,Manchester City,2853,Portugal,36,7,2,5,7,18,3,0
Sergio Aguero,31,Premier League,Forward,Manchester City,2480,Argentina,33,21,15,6,8,19,4,0
Raheem Sterling,24,Premier League,Forward,Manchester City,2777,England,34,17,12,5,10,18,3,0
Kevin De Bruyne,28,Premier League,Midfielder,Manchester City,974,Belgium,19,2,2,0,2,12,2,0
Gabriel Jesus,22,Premier League,Forward,Manchester City,1019,Brazil,29,7,5,2,3,16,1,0
Leroy Sané,23,Premier League,Midfielder,Manchester City,1867,Germany,31,10,5,5,10,16,1,0
Claudio Andrés Bravo Muñoz,36,Premier League,Goalkeeper,Manchester City,0,Chile,0,0,0,0,0,0,0,0
Vincent Kompany,33,Premier League,Defender,Manchester City,1223,Belgium,17,1,1,0,0,7,6,0
Nicolas Otamendi,31,Premier League,Defender,Manchester City,1233,Argentina,18,0,0,0,0,10,1,0
Philip Foden,19,Premier League,Midfielder,Manchester City,327,England,13,1,1,0,0,8,0,0
Harry Arter,29,Premier League,Midfielder,Cardiff City,2008,Republic of Ireland,25,0,0,0,1,7,10,0
Kenneth Dahrup Zohorè,25,Premier League,Forward,Cardiff City,746,Denmark,19,1,0,1,1,5,1,0
Isaac Hayden,24,Premier League,Midfielder,Newcastle United,1886,England,25,1,0,1,4,7,4,1
Jacob Murphy,24,Premier League,Midfielder,Newcastle United,300,England,9,0,0,0,1,1,0,0
Federico Fernández,30,Premier League,Defender,Newcastle United,1484,Argentina,19,0,0,0,1,4,2,0
Carlos Sánchez,33,Premier League,Midfielder,West Ham United,240,Colombia,7,0,0,0,0,2,0,0
Lucas Perez,31,Premier League,Forward,West Ham United,468,Spain,15,3,3,0,0,3,0,0
Aaron Cresswell,29,Premier League,Defender,West Ham United,1645,England,20,0,0,0,1,3,1,0
Kurt Zouma,25,Premier League,Defender,Everton,2610,France,32,2,1,1,2,11,5,1
Ademola Lookman,22,Premier League,Forward,Everton,601,England,21,0,0,0,2,8,0,0
Jonjoe Kenny,22,Premier League,Defender,Everton,790,England,10,0,0,0,1,2,1,0
Shane Long,32,Premier League,Forward,Southampton,1269,Republic of Ireland,26,5,3,2,1,5,3,0
Maya Yoshida,31,Premier League,Defender,Southampton,1520,Japan,17,0,0,0,1,3,0,0
Matt Targett,24,Premier League,Defender,Southampton,1185,England,16,1,1,0,3,1,2,0
Nampalys Mendy,27,Premier League,Midfielder,Leicester City,2088,France,31,0,0,0,0,9,5,0
Adama Traoré Diarra,23,Premier League,Midfielder,Wolverhampton Wanderers,890,Spain,29,1,0,1,1,6,1,0
Kieran Trippier,29,Premier League,Defender,Tottenham Hotspur,2278,England,27,1,1,0,3,10,2,0
Erik Lamela,27,Premier League,Midfielder,Tottenham Hotspur,971,Argentina,19,4,1,3,2,5,2,0
Harry Winks,23,Premier League,Midfielder,Tottenham Hotspur,1591,England,26,1,0,1,0,10,4,0
Danny Rose,29,Premier League,Defender,Tottenham Hotspur,1806,England,26,0,0,0,3,10,5,0
André-Frank Zambo Anguissa,23,Premier League,Midfielder,Fulham,1518,Cameroon,22,0,0,0,0,3,3,1
Mateo Kovačić,25,Premier League,Midfielder,Chelsea,1743,Croatia,32,0,0,0,2,12,3,0
Nacho Monreal,33,Premier League,Defender,Arsenal,1861,Spain,22,1,1,0,3,6,5,0
Danny Welbeck,28,Premier League,Forward,Arsenal,147,England,8,1,1,0,1,2,0,0
David Silva,33,Premier League,Midfielder,Manchester City,2411,Spain,33,6,4,2,8,17,2,0
Abdelhamid Sabiri,22,Premier League,Midfielder,Huddersfield Town,49,Morocco,2,0,0,0,0,0,0,0
Isaac Mbenza,23,Premier League,Forward,Huddersfield Town,981,Belgium,22,1,1,0,1,4,1,0
Daniel Williams,30,Premier League,Midfielder,Huddersfield Town,93,USA,5,0,0,0,0,1,1,0
Kevin Long,29,Premier League,Defender,Burnley,513,Republic of Ireland,6,0,0,0,1,1,0,0
Martín Montoya,28,Premier League,Defender,Brighton & Hove Albion,2166,Spain,25,0,0,0,1,3,4,0
Jesse Lingard,26,Premier League,Midfielder,Manchester United,1668,England,27,4,1,3,2,6,3,0
Ander Herrera,30,Premier League,Midfielder,Manchester United,1404,Spain,22,2,0,2,3,6,4,0
Max Meyer,24,Premier League,Midfielder,Crystal Palace,1414,Germany,29,1,0,1,2,8,3,0
Jordan Ayew,28,Premier League,Forward,Crystal Palace,1186,Ghana,20,1,0,1,2,6,3,0
Alberto Moreno,27,Premier League,Defender,Liverpool,155,Spain,2,0,0,0,0,0,0,0
Simon Mignolet,31,Premier League,Goalkeeper,Liverpool,0,Belgium,0,0,0,0,0,0,0,0
Joel Matip,28,Premier League,Defender,Liverpool,1532,Cameroon,22,1,1,0,0,11,3,0
Fabian Delph,29,Premier League,Midfielder,Manchester City,725,England,11,0,0,0,1,4,2,1
Arijanet Muric,20,Premier League,Goalkeeper,Manchester City,0,Montenegro,0,0,0,0,0,0,0,0
Jefferson Lerma,25,Premier League,Midfielder,AFC Bournemouth,2511,Colombia,30,2,0,2,0,8,12,0
Bernard Anício Caldeira Duarte,27,Premier League,Midfielder,Everton,2128,Brazil,34,1,0,1,3,14,5,0
Kieran Dowell,22,Premier League,Midfielder,Everton,0,England,0,0,0,0,0,0,0,0
Steven Davis,34,Premier League,Midfielder,Southampton,96,Northern Ireland,3,0,0,0,1,0,0,0
Shinji Okazaki,33,Premier League,Forward,Leicester City,269,Japan,21,0,0,0,1,2,0,0
Markus Suttner,32,Premier League,Defender,Brighton & Hove Albion,0,Austria,0,0,0,0,0,0,0,0
Sullay Kaikai,24,Premier League,Midfielder,Crystal Palace,0,England,0,0,0,0,0,0,0,0
Marcus Bettinelli,27,Premier League,Goalkeeper,Fulham,630,England,7,0,0,0,0,0,1,0
Denis Odoi,31,Premier League,Defender,Fulham,2593,Belgium,31,0,0,0,1,5,4,0
Jamie Sterry,23,Premier League,Defender,Newcastle United,0,England,0,0,0,0,0,0,0,0
Sean Longstaff,22,Premier League,Midfielder,Newcastle United,688,England,9,1,1,0,0,3,2,0
Antonio Valencia,34,Premier League,Defender,Manchester United,466,Ecuador,6,0,0,0,0,2,2,0
Phil Jones,27,Premier League,Defender,Manchester United,1263,England,18,0,0,0,1,4,1,0
Nemanja Matić,31,Premier League,Midfielder,Manchester United,2441,Serbia,28,1,1,0,0,6,8,1
Alfie Mawson,25,Premier League,Defender,Fulham,1131,England,15,0,0,0,0,3,2,0
Diego Rico,26,Premier League,Defender,AFC Bournemouth,607,Spain,12,0,0,0,0,0,1,0
Jason Puncheon,33,Premier League,Midfielder,Huddersfield Town,391,England,11,0,0,0,0,3,1,0
Tyias Browning,25,Premier League,Defender,Everton,0,England,0,0,0,0,0,0,0,0
Elias Kachunga,27,Premier League,Forward,Huddersfield Town,1181,Congo DR,20,0,0,0,0,2,2,0
Erik Durm,27,Premier League,Defender,Huddersfield Town,2051,Germany,28,0,0,0,1,3,0,0
Ryan Schofield,19,Premier League,Goalkeeper,Huddersfield Town,0,England,0,0,0,0,0,0,0,0
Kadeem Harris,26,Premier League,Midfielder,Cardiff City,366,England,13,1,1,0,0,4,1,0
Brian Murphy,36,Premier League,Goalkeeper,Cardiff City,0,Republic of Ireland,0,0,0,0,0,0,0,0
Dwight McNeil,19,Premier League,Forward,Burnley,1599,England,21,3,3,0,4,4,2,0
Matěj Vydra,27,Premier League,Forward,Burnley,311,Czech Republic,13,1,1,0,1,1,1,0
Nathaniel Chalobah,24,Premier League,Midfielder,Watford,266,England,9,0,0,0,0,1,2,0
Victor Wanyama,28,Premier League,Midfielder,Tottenham Hotspur,509,Kenya,13,1,1,0,0,6,2,0
Paulo Dino Gazzaniga,27,Premier League,Goalkeeper,Tottenham Hotspur,270,Argentina,3,0,0,0,0,1,0,0
Danny Drinkwater,29,Premier League,Midfielder,Chelsea,0,England,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,22,Premier League,Midfielder,Manchester City,1153,Ukraine,14,0,0,0,3,10,1,0
Floyd Ayité,30,Premier League,Midfielder,Fulham,465,Togo,16,1,0,1,0,3,0,0
Junior Stanislas,29,Premier League,Midfielder,AFC Bournemouth,1027,England,23,2,1,1,3,7,1,0
Sergio Germán Romero,32,Premier League,Goalkeeper,Manchester United,0,Argentina,0,0,0,0,0,0,0,0
Florin Andone,26,Premier League,Forward,Brighton & Hove Albion,874,Romania,23,3,2,1,0,3,5,0
Alfie Whiteman,21,Premier League,Goalkeeper,Tottenham Hotspur,0,England,0,0,0,0,0,0,0,0
Gary Cahill,33,Premier League,Defender,Chelsea,22,England,2,0,0,0,0,2,0,0
Cesc Fabregas,32,Premier League,Midfielder,Chelsea,175,Spain,6,0,0,0,0,3,1,0
Grady Diangana,21,Premier League,Midfielder,West Ham United,604,England,17,0,0,0,1,2,0,0
Sead Kolašinac,26,Premier League,Defender,Arsenal,1891,Bosnia and Herzegovina,24,0,0,0,5,5,5,0
Marc Navarro Ceciliano,24,Premier League,Defender,Watford,84,Spain,2,0,0,0,0,0,0,0
Tim Ream,32,Premier League,Defender,Fulham,2051,USA,26,0,0,0,0,5,1,0
Danilo,28,Premier League,Defender,Manchester City,806,Brazil,11,1,0,1,0,5,1,0
Jose Izquierdo,27,Premier League,Forward,Brighton & Hove Albion,794,Colombia,15,0,0,0,1,5,1,0
Ivan Ricardo Neves Abreu Cavaleiro,26,Premier League,Forward,Wolverhampton Wanderers,682,Portugal,23,3,2,1,1,5,1,0
Steven Defour,31,Premier League,Midfielder,Burnley,452,Belgium,6,0,0,0,0,1,0,0
Oliver Skipp,19,Premier League,Midfielder,Tottenham Hotspur,216,England,8,0,0,0,0,4,0,0
Aron Einar Gunnarsson,30,Premier League,Midfielder,Cardiff City,2274,Iceland,28,1,1,0,1,8,5,0
Gerard Deulofeu,25,Premier League,Forward,Watford,2082,Spain,30,10,3,7,5,6,3,0
Zeze Steven Sessegnon,19,Premier League,Defender,Fulham,0,England,0,0,0,0,0,0,0,0
Damián Emiliano Martínez,27,Premier League,Goalkeeper,Arsenal,0,Argentina,0,0,0,0,0,0,0,0
Dejan Lovren,30,Premier League,Defender,Liverpool,985,Croatia,13,1,1,0,0,6,1,0
Loïc Damour,28,Premier League,Midfielder,Cardiff City,21,France,2,0,0,0,0,0,0,0
Ben Wilmot,19,Premier League,Defender,Watford,26,England,2,0,0,0,0,1,0,0
Domingos Quina,19,Premier League,Midfielder,Watford,335,Portugal,8,1,1,0,0,1,0,0
Juninho Bacuna,22,Premier League,Midfielder,Huddersfield Town,1414,Netherlands,21,1,0,1,0,2,4,0
Divock Origi,24,Premier League,Forward,Liverpool,366,Belgium,12,3,2,1,1,7,0,0
André Filipe Tavares Gomes,26,Premier League,Midfielder,Everton,1986,Portugal,27,1,1,0,1,10,7,0
Yerry Fernando Mina González,25,Premier League,Defender,Everton,890,Colombia,13,1,0,1,0,4,3,0
Connor Wickham,26,Premier League,Forward,Crystal Palace,61,England,6,0,0,0,1,2,0,0
Emile Smith Rowe,19,Premier League,Midfielder,Arsenal,0,England,0,0,0,0,0,0,0,0
Zechariah Medley,19,Premier League,Defender,Arsenal,0,England,0,0,0,0,0,0,0,0
Caglar Söyüncü,23,Premier League,Defender,Leicester City,371,Turkey,6,0,0,0,0,2,1,0
Jason Steele,29,Premier League,Goalkeeper,Brighton & Hove Albion,0,England,0,0,0,0,0,0,0,0
Leander Dendoncker,24,Premier League,Midfielder,Wolverhampton Wanderers,1469,Belgium,19,2,1,1,0,4,1,0
Matthew Connolly,32,Premier League,Defender,Cardiff City,0,England,0,0,0,0,0,0,0,0
Stefano Okaka,30,Premier League,Forward,Watford,22,Italy,2,0,0,0,0,0,1,0
Collin Quaner,28,Premier League,Forward,Huddersfield Town,37,Germany,2,0,0,0,0,0,0,0
Joe Powell,21,Premier League,Forward,West Ham United,0,England,0,0,0,0,0,0,0,0
Conor Coventry,19,Premier League,Midfielder,West Ham United,0,Republic of Ireland,0,0,0,0,0,0,0,0
Robbie Brady,27,Premier League,Midfielder,Burnley,715,Republic of Ireland,16,0,0,0,1,2,4,1
Faustino Marcos Alberto Rojo,29,Premier League,Defender,Manchester United,211,Argentina,5,0,0,0,0,0,2,0
Danny Simpson,32,Premier League,Defender,Leicester City,291,England,6,0,0,0,0,3,0,0
Fousseni Diabaté,24,Premier League,Midfielder,Leicester City,55,Mali,1,0,0,0,0,0,0,0
Juan Marcos Foyth,21,Premier League,Defender,Tottenham Hotspur,930,Argentina,12,1,0,1,0,4,4,1
Michael Obafemi,19,Premier League,Forward,Southampton,134,Republic of Ireland,6,1,0,1,1,0,1,0
Viktor Gyökeres,21,Premier League,Forward,Brighton & Hove Albion,0,Sweden,0,0,0,0,0,0,0,0
Marc Pugh,32,Premier League,Midfielder,AFC Bournemouth,0,England,0,0,0,0,0,0,0,0
Edward Nketiah,20,Premier League,Forward,Arsenal,62,England,5,1,0,1,0,1,0,0
Andy Carroll,30,Premier League,Forward,West Ham United,454,England,12,0,0,0,0,2,2,0
Freddie Woodman,22,Premier League,Goalkeeper,Newcastle United,0,England,0,0,0,0,0,0,0,0
Ryan Giles,19,Premier League,Midfielder,Wolverhampton Wanderers,0,England,0,0,0,0,0,0,0,0
Jack Simpson,22,Premier League,Defender,AFC Bournemouth,403,England,6,0,0,0,0,2,0,0
Yann Valery,20,Premier League,Defender,Southampton,1715,France,23,2,1,1,1,3,5,1
José Diogo Dalot Teixeira,20,Premier League,Defender,Manchester United,1015,Portugal,16,0,0,0,2,2,3,0
Rafael Euclides Soares Camacho,19,Premier League,Midfielder,Liverpool,0,Portugal,1,0,0,0,0,0,0,0
Josh Knight,22,Premier League,Defender,Leicester City,0,England,0,0,0,0,0,0,0,0
Laurent Koscielny,34,Premier League,Defender,Arsenal,1328,France,17,3,2,1,0,4,1,0
Ben White,22,Premier League,Defender,Brighton & Hove Albion,0,England,0,0,0,0,0,0,0,0
Emerson Palmieri dos Santos,25,Premier League,Defender,Chelsea,660,Italy,10,0,0,0,0,3,0,0
Hamza Choudhury,22,Premier League,Midfielder,Leicester City,596,England,9,0,0,0,0,4,0,0
Georges-Kevin N'Koudou Mbida,24,Premier League,Forward,Tottenham Hotspur,4,France,1,0,0,0,1,0,0,0
Julián Speroni,40,Premier League,Goalkeeper,Crystal Palace,90,Argentina,1,0,0,0,0,0,0,0
Scott Dann,32,Premier League,Defender,Crystal Palace,660,England,10,0,0,0,1,3,1,0
Timothy Eyoma,19,Premier League,Defender,Tottenham Hotspur,0,England,0,0,0,0,0,0,0,0
Tom Cleverley,30,Premier League,Midfielder,Watford,470,England,13,1,0,1,0,4,2,0
Alexandre Nascimento Costa Silva,22,Premier League,Forward,West Ham United,17,Portugal,1,0,0,0,0,0,0,0
Tyreke Johnson,20,Premier League,Defender,Southampton,0,England,1,0,0,0,0,0,0,0
Bakayo Sako,49,Premier League,Midfielder,Arsenal,7,England,1,0,0,0,0,0,0,0
Ali Koiki,19,Premier League,Defender,Burnley,0,England,0,0,0,0,0,0,0,0
Kayne Ramsey,19,Premier League,Midfielder,Southampton,90,England,1,0,0,0,0,0,0,0
Max Kilman,22,Premier League,Defender,Wolverhampton Wanderers,0,England,1,0,0,0,0,1,0,0
Angel Gomes,19,Premier League,Midfielder,Manchester United,25,England,2,0,0,0,0,0,0,0
Joseph Willock,20,Premier League,Midfielder,Arsenal,64,England,2,0,0,0,0,0,0,0
Callum Hudson-Odoi,18,Premier League,Midfielder,Chelsea,391,England,10,0,0,0,1,3,0,0
Miguel Ángel Britos Cabrera,34,Premier League,Defender,Watford,185,Uruguay,3,0,0,0,0,1,0,0
Ethan Ampadu,19,Premier League,Midfielder,Chelsea,0,Wales,0,0,0,0,0,0,0,0
Callum Slattery,20,Premier League,Midfielder,Southampton,110,England,3,0,0,0,0,0,0,0
Samir Nasri,32,Premier League,Midfielder,West Ham United,246,France,5,0,0,0,2,1,0,0
Florian Lejeune,28,Premier League,Defender,Newcastle United,1055,France,12,0,0,0,0,3,0,0
Max Harrison Sanders,20,Premier League,Midfielder,Brighton & Hove Albion,0,England,0,0,0,0,0,0,0,0
Rhys Healey,24,Premier League,Forward,Cardiff City,49,England,3,0,0,0,0,1,0,0
Harvey Lewis Barnes,21,Premier League,Midfielder,Leicester City,1007,England,16,1,0,1,2,3,0,0
Sam Gallagher,24,Premier League,Forward,Southampton,30,England,4,0,0,0,0,1,0,0
Joshua Sims,22,Premier League,Midfielder,Southampton,209,England,7,0,0,0,1,1,0,0
Joe Daniel Tupper,21,Premier League,Goalkeeper,Crystal Palace,0,England,0,0,0,0,0,0,0,0
Callum Roberts,22,Premier League,Forward,Newcastle United,0,England,0,0,0,0,0,0,0,0
Ryan Guno Babel,32,Premier League,Forward,Fulham,1260,Netherlands,16,5,3,2,3,3,3,0
Kazaiah Sterling,20,Premier League,Forward,Tottenham Hotspur,0,England,0,0,0,0,0,0,0,0
Carl Jenkinson,27,Premier League,Defender,Arsenal,166,England,3,0,0,0,0,0,0,0
Konstantinos Mavropanos,21,Premier League,Defender,Arsenal,150,Greece,4,0,0,0,0,1,1,0
Dan Burn,27,Premier League,Defender,Brighton & Hove Albion,0,England,0,0,0,0,0,0,0,0
James McCarthy,28,Premier League,Midfielder,Everton,14,Republic of Ireland,1,0,0,0,0,1,0,0
Josh Benson,19,Premier League,Midfielder,Burnley,0,England,0,0,0,0,0,0,0,0
