full_name,age,league,position,Current Club,minutes_played_overall,nationality,appearances_overall,goals_overall,goals_home,goals_away,assists_overall,clean_sheets_overall,yellow_cards_overall,red_cards_overall
Christian Eriksen,27,Premier League,Midfielder,Tottenham Hotspur,2772,Denmark,35,8,6,2,12,10,3,0
Lucas Rodrigues Moura da Silva,27,Premier League,Midfielder,Tottenham Hotspur,2127,Brazil,32,10,6,4,0,12,3,0
Dele Alli,23,Premier League,Midfielder,Tottenham Hotspur,1827,England,25,5,1,4,3,7,4,0
Eric Dier,25,Premier League,Midfielder,Tottenham Hotspur,1510,England,20,3,2,1,0,6,4,0
Harry Kane,26,Premier League,Forward,Tottenham Hotspur,2427,England,28,17,6,11,4,10,5,0
Moussa Dembele,32,Premier League,Midfielder,Tottenham Hotspur,516,Belgium,10,0,0,0,0,3,1,0
Heung-Min Son,27,Premier League,Forward,Tottenham Hotspur,2048,South Korea,31,12,8,4,6,11,3,1
Luke Amos,22,Premier League,Midfielder,Tottenham Hotspur,2,England,1,0,0,0,0,0,0,0
Toby Alderweireld,30,Premier League,Defender,Tottenham Hotspur,2924,Belgium,34,0,0,0,0,12,3,0
Michel Vorm,36,Premier League,Goalkeeper,Tottenham Hotspur,180,Netherlands,2,0,0,0,0,0,0,0
Kyle Walker-Peters,22,Premier League,Defender,Tottenham Hotspur,374,England,6,0,0,0,3,3,1,0
Fernando Llorente Torres,34,Premier League,Forward,Tottenham Hotspur,683,Spain,20,1,1,0,4,7,2,0
Asmir Begović,32,Premier League,Goalkeeper,AFC Bournemouth,2160,Bosnia and Herzegovina,24,0,0,0,0,5,0,0
Charlie Daniels,33,Premier League,Defender,AFC Bournemouth,1583,England,21,1,1,0,0,6,4,0
Adam Smith,28,Premier League,Defender,AFC Bournemouth,2073,England,25,1,1,0,1,9,6,1
Steve Cook,28,Premier League,Defender,AFC Bournemouth,2787,England,31,1,0,1,1,9,3,0
Nathan Aké,24,Premier League,Defender,AFC Bournemouth,3412,Netherlands,38,4,3,1,0,10,3,0
Andrew Surman,33,Premier League,Midfielder,AFC Bournemouth,1438,England,18,0,0,0,0,5,2,0
Dan Gosling,29,Premier League,Midfielder,AFC Bournemouth,1737,England,25,2,0,2,1,7,8,0
Ryan Fraser,25,Premier League,Midfielder,AFC Bournemouth,3173,Scotland,38,7,5,2,13,10,2,0
David Brooks,22,Premier League,Forward,AFC Bournemouth,2278,England,30,7,4,3,5,9,3,0
Callum Wilson,27,Premier League,Forward,AFC Bournemouth,2535,England,30,14,5,9,9,9,3,0
Joshua King,27,Premier League,Forward,AFC Bournemouth,2974,Norway,35,12,9,3,3,9,3,0
Simon Francis,34,Premier League,Defender,AFC Bournemouth,1226,England,17,0,0,0,2,5,1,0
Lys Mousset,23,Premier League,Forward,AFC Bournemouth,345,France,24,1,0,1,0,5,1,0
Jermain Defoe,37,Premier League,Forward,AFC Bournemouth,21,England,4,0,0,0,0,2,0,0
Artur Boruc,39,Premier League,Goalkeeper,AFC Bournemouth,1080,Poland,12,0,0,0,0,4,2,0
Jordon Ibe,23,Premier League,Midfielder,AFC Bournemouth,795,England,19,1,0,1,1,4,1,0
Lewis Cook,22,Premier League,Midfielder,AFC Bournemouth,721,England,13,0,0,0,0,3,2,0
Tyrone Mings,26,Premier League,Defender,AFC Bournemouth,141,England,5,0,0,0,0,0,0,0
Neil Leonard Dula Etheridge,29,Premier League,Goalkeeper,Cardiff City,3420,Philippines,38,0,0,0,0,10,2,0
Lee Peltier,32,Premier League,Defender,Cardiff City,1542,England,20,0,0,0,0,6,4,0
Bruno Écuélé Manga,31,Premier League,Defender,Cardiff City,3375,Gabon,38,0,0,0,1,10,0,0
Souleymane Bamba,34,Premier League,Defender,Cardiff City,2475,Côte d'Ivoire,28,4,2,2,1,7,7,0
Sean Morrison,28,Premier League,Defender,Cardiff City,3040,England,34,1,0,1,3,9,6,0
Joe Bennett,29,Premier League,Defender,Cardiff City,2641,England,30,0,0,0,1,9,5,0
Callum Paterson,25,Premier League,Defender,Cardiff City,1996,Scotland,27,4,3,1,1,7,4,0
Bobby Reid,26,Premier League,Midfielder,Cardiff City,1422,England,27,5,4,1,2,6,0,0
Joe Ralls,26,Premier League,Midfielder,Cardiff City,1959,England,28,0,0,0,0,8,5,1
David Junior Hoilett,29,Premier League,Forward,Cardiff City,2142,Canada,32,3,2,1,1,9,4,0
